#{"t_start": 1746947258.6964107, "env_id": "None"}
r,l,t
1.0,1,15.863155
-1.0,1,15.863809
1.0,1,15.864464
-1.0,1,15.865294
1.0,1,15.865991
1.0,1,15.866685
1.0,1,15.867467
1.0,1,15.868237
1.0,1,15.86897
-1.0,1,15.869622
-1.0,1,15.870327
1.0,1,15.870946
1.0,1,15.871604
-1.0,1,15.872249
-1.0,1,15.872876
1.0,1,15.873526
-1.0,1,15.874145
1.0,1,15.874817
1.0,1,15.87547
1.0,1,15.876091
-1.0,1,15.876814
1.0,1,15.877497
1.0,1,15.878246
1.0,1,15.878871
-1.0,1,15.879523
-1.0,1,15.880148
-1.0,1,15.880796
-1.0,1,15.88145
-1.0,1,15.882073
1.0,1,15.882726
-1.0,1,15.883378
-1.0,1,15.884853
-1.0,1,15.885517
1.0,1,15.886147
1.0,1,15.886898
1.0,1,15.887613
1.0,1,15.88837
-1.0,1,15.888994
-1.0,1,15.889642
-1.0,1,15.89029
1.0,1,15.890916
1.0,1,15.891614
1.0,1,15.89226
1.0,1,15.892887
1.0,1,15.893546
-1.0,1,15.894176
1.0,1,15.894855
1.0,1,15.895518
-1.0,1,15.896338
-1.0,1,15.897178
1.0,1,15.897969
1.0,1,15.898642
-1.0,1,15.899311
-1.0,1,15.89995
-1.0,1,15.900621
1.0,1,15.901282
-1.0,1,15.901917
1.0,1,15.902586
-1.0,1,15.903261
-1.0,1,15.903894
-1.0,1,15.90457
-1.0,1,15.905216
-1.0,1,15.905868
-1.0,1,15.906538
-1.0,1,15.907362
-1.0,1,15.908126
1.0,1,15.908797
1.0,1,15.909464
-1.0,1,15.910097
-1.0,1,15.91081
1.0,1,15.911527
-1.0,1,15.912171
1.0,1,15.912835
-1.0,1,15.913502
-1.0,1,15.914135
1.0,1,15.914797
1.0,1,15.915464
1.0,1,15.916097
1.0,1,15.916822
-1.0,1,15.917528
1.0,1,15.918307
-1.0,1,15.918939
-1.0,1,15.919601
1.0,1,15.920267
1.0,1,15.920971
1.0,1,15.921659
-1.0,1,15.922319
1.0,1,15.92295
-1.0,1,15.923611
-1.0,1,15.924267
-1.0,1,15.924899
-1.0,1,15.925568
1.0,1,15.926199
1.0,1,15.926966
1.0,1,15.927689
1.0,1,15.928422
-1.0,1,15.929053
-1.0,1,15.929736
-1.0,1,15.930404
-1.0,1,15.931037
-1.0,1,15.931695
-1.0,1,15.932387
-1.0,1,15.933017
1.0,1,15.933714
-1.0,1,15.934377
1.0,1,15.935023
1.0,1,15.935687
-1.0,1,15.93635
-1.0,1,15.937124
-1.0,1,15.937891
1.0,1,15.938569
-1.0,1,15.939224
-1.0,1,15.939879
1.0,1,15.940547
1.0,1,15.941201
1.0,1,15.941861
1.0,1,15.94252
-1.0,1,15.943153
-1.0,1,15.943816
1.0,1,15.944481
-1.0,1,15.945109
1.0,1,15.945769
-1.0,1,15.946435
1.0,1,15.94717
1.0,1,15.947968
